N,P,K,temperature,humidity,ph,rainfall,label
58.87,66.25,66.15,11.91,91.12,6.05,164.6,apple
27.48,60.53,30.3,16.9,66.91,6.5,43.42,lentil
28.97,44.45,37.32,31.38,49.29,7.12,79.22,pigeonpeas
71.56,43.67,44.5,29.82,53.34,6.61,111.42,mango
93.3,59.35,38.02,29.47,83.21,6.47,173.72,jute
86.72,43.33,57.96,20.28,68.23,6.19,81.97,grapes
96.16,55.08,79.59,29.97,90.64,5.97,171.61,papaya
51.73,45.33,60.08,14.97,92.97,6.24,150.88,apple
101.86,56.39,64.9,33.26,50.98,6.5,77.01,pomegranate
129.36,74.25,40.24,24.09,61.81,6.61,94.07,cotton
72.86,48.52,68.79,28.42,93.59,6.13,196.16,papaya
10.71,55.31,25.1,31.71,86.2,7.01,72.04,mungbean
67.62,61.42,84.59,34.4,94.06,6.7,30.09,muskmelon
85.69,55.69,71.65,30.5,64.0,6.64,69.47,pomegranate
14.97,60.0,32.04,19.67,21.38,6.12,134.29,kidneybeans
28.5,35.29,33.53,27.28,86.31,6.0,60.45,mungbean
107.09,50.69,89.17,25.56,92.29,6.29,177.49,papaya
22.83,43.15,25.25,22.12,19.1,6.38,71.11,chickpea
89.32,46.69,64.44,30.44,56.47,5.84,55.24,pomegranate
15.63,68.16,30.65,18.77,18.41,6.13,79.25,chickpea
24.16,44.83,28.04,30.93,70.05,6.83,80.86,blackgram
23.29,58.43,31.19,39.57,55.46,6.68,57.96,mothbeans
16.18,45.16,26.52,34.23,85.46,6.56,64.05,mungbean
88.81,70.29,87.58,31.72,93.94,6.84,25.55,muskmelon
92.57,40.69,49.75,13.29,91.2,6.45,164.5,orange
17.26,58.08,30.49,20.83,19.35,6.61,91.6,chickpea
17.64,39.75,30.83,29.66,86.76,6.89,81.83,mungbean
22.75,40.57,36.0,26.78,41.46,6.51,92.47,pigeonpeas
17.64,69.75,38.66,17.8,21.58,6.42,145.29,kidneybeans
69.13,74.88,81.24,27.46,84.5,6.33,50.39,watermelon
116.58,54.89,122.1,28.85,79.13,6.62,150.52,banana
106.36,65.02,45.92,26.01,64.53,6.72,72.88,cotton
85.05,45.5,124.65,28.71,93.15,6.98,140.56,coconut
102.09,58.98,41.59,35.54,88.88,6.25,194.44,jute
105.55,44.6,41.83,20.26,72.36,7.24,79.53,grapes
86.63,54.36,41.86,20.76,88.26,5.76,184.07,coffee
104.29,51.27,41.17,21.77,66.05,6.62,52.45,maize
91.86,51.54,48.9,20.77,88.57,6.36,181.49,coffee
23.88,42.9,26.43,34.12,57.37,6.55,62.01,mothbeans
79.64,58.14,72.24,5.1,90.63,5.76,171.37,apple
15.07,36.8,26.95,34.02,65.35,6.49,79.74,blackgram
22.94,44.75,26.74,29.43,44.08,6.62,68.36,pigeonpeas
101.63,47.08,92.1,31.58,90.23,6.08,192.59,papaya
114.8,46.88,31.21,24.83,91.69,6.67,144.34,orange
73.88,53.57,117.65,34.64,95.37,6.74,29.98,muskmelon
107.67,61.69,46.57,22.85,68.34,6.16,80.0,maize
94.27,42.36,44.86,20.52,81.98,5.87,181.24,coffee
98.58,46.48,49.03,23.93,89.76,6.03,183.46,rice
91.85,46.04,44.58,21.64,92.3,7.01,149.58,orange
67.89,56.46,55.89,17.79,71.02,6.61,77.24,grapes
95.89,43.27,57.82,17.31,85.11,5.89,156.22,coffee
76.01,32.2,119.31,30.11,91.16,6.34,161.4,coconut
95.38,58.86,50.49,32.41,72.06,6.18,214.77,jute
85.24,35.56,106.49,31.44,93.77,6.03,160.99,papaya
83.65,54.43,51.86,15.0,88.71,6.01,182.41,orange
84.98,48.19,59.36,21.24,85.49,5.86,162.83,rice
22.45,47.54,32.88,20.48,23.2,6.13,113.83,kidneybeans
62.47,62.56,65.29,14.49,94.37,6.1,152.39,apple
32.73,42.07,32.81,29.23,52.01,7.12,62.94,pigeonpeas
119.5,78.65,152.98,28.08,77.53,6.13,150.7,banana
69.21,62.77,62.07,20.0,93.14,5.91,156.09,apple
98.33,53.8,53.02,30.86,57.65,5.98,55.06,pomegranate
80.17,62.23,68.71,33.4,89.02,6.46,27.34,muskmelon
24.34,37.18,28.5,29.95,47.78,6.44,97.85,pigeonpeas
25.14,64.62,31.78,13.76,61.62,6.84,51.38,lentil
96.77,32.56,65.04,27.4,89.49,5.73,158.73,papaya
114.91,45.86,49.27,25.48,64.38,6.89,50.28,maize
98.09,48.39,48.98,30.85,63.14,5.58,144.12,mango
123.36,56.5,33.27,19.85,64.64,5.88,74.14,maize
114.45,54.15,46.65,24.79,61.21,7.0,82.36,maize
94.82,48.11,48.42,14.64,94.3,7.01,141.18,orange
128.77,57.76,50.4,24.01,69.84,6.43,90.26,maize
22.57,45.54,22.69,30.3,73.32,6.34,73.82,blackgram
68.74,55.61,69.35,17.99,64.28,6.24,70.32,grapes
22.9,41.92,31.02,28.31,85.43,6.59,82.91,mungbean
25.04,50.74,29.84,32.38,51.18,6.81,80.92,pigeonpeas
92.52,50.14,44.75,29.41,87.08,6.81,191.67,jute
46.9,58.18,66.57,10.01,92.7,6.21,151.82,apple
107.22,51.24,48.94,25.46,63.46,6.57,72.24,maize
20.02,47.67,26.01,31.03,69.64,6.75,83.36,blackgram
92.19,43.31,46.95,24.38,83.67,5.91,196.54,rice
104.01,46.87,89.45,25.93,93.09,6.08,196.17,papaya
80.9,35.78,31.14,29.47,83.81,6.87,172.75,jute
89.85,43.39,57.28,17.58,69.11,7.24,81.5,grapes
29.3,46.91,28.98,33.94,49.63,6.35,74.78,pigeonpeas
95.54,47.3,53.75,20.33,72.44,6.57,67.34,grapes
141.94,64.32,51.53,25.34,62.12,6.75,93.78,cotton
72.0,49.61,81.99,34.21,93.51,6.51,18.69,muskmelon
64.77,68.41,99.52,30.94,84.17,6.57,55.2,watermelon
108.63,48.46,107.31,33.31,81.95,6.24,154.79,banana
46.16,64.51,54.36,2.46,92.52,5.76,155.39,apple
22.37,49.93,29.21,30.18,70.54,6.64,66.07,blackgram
16.19,43.4,35.21,28.37,55.56,6.55,52.79,mothbeans
110.41,41.0,59.78,19.77,74.35,5.63,63.27,grapes
91.01,42.89,152.2,34.8,92.92,6.59,163.16,coconut
22.13,48.41,22.62,15.18,20.31,5.9,143.98,kidneybeans
92.77,52.44,63.17,21.03,70.38,5.95,75.36,grapes
120.95,54.27,51.44,24.99,72.22,6.55,86.75,maize
137.76,40.88,135.62,28.53,79.41,6.34,121.91,banana
97.11,49.01,44.22,16.35,91.19,7.21,116.03,orange
88.6,45.64,41.63,18.9,89.67,6.88,174.5,orange
88.95,36.91,63.79,19.08,72.34,5.99,67.2,grapes
10.63,53.38,25.42,30.7,82.72,6.58,79.24,mungbean
112.66,76.51,113.41,31.34,79.2,6.21,121.99,banana
16.51,55.72,26.58,20.19,23.58,6.85,136.01,kidneybeans
96.42,32.52,42.19,26.13,91.36,5.97,237.16,coffee
140.35,66.9,68.94,25.05,56.94,6.66,108.61,cotton
19.12,69.35,28.43,22.14,21.58,6.41,104.72,kidneybeans
